Author_name,#Followers,Author Following,Account Created,Verified,Location,Tweet,Length,Likes,Language,Retweets,Time
amazonIN,2066593,70,20-03-13 10:40,TRUE,India,"@Saurabh18906658 Also, please don’t provide your order details as we consider them to be personal information. Our Twitter page is visible to public. 2/2

-Shaaf","[0, 161]",0,en,0,19-04-21 7:47
sumits016,3,83,25-02-17 4:10,FALSE,,"@amazonIN @AmazonHelp Hi team, this is regarding an order-407-6681757-9850718 in which your support team is not helping or delivering my order
I ordered a laptop and today-19/04/2021 while delivering the order your delivery partner refused to exchange my old product","[0, 266]",0,en,0,19-04-21 7:46
MoneycontrolH,9090,9,06-08-19 10:37,FALSE,Noida,"#AmazonfutureCase में सुप्रीम कोर्ट ने दिल्ली हाई कोर्ट में चल रही एमेजॉन और फ्यूचर ग्रुप के सभी मामलों की सुनवाई पर स्टे लगा दिया है। सुप्रीम कोर्ट अब इस मामले की सुनवाई 4 मई को करेगा... #SupremeCourt  @amazon  @amazonIN   @future_care 

https://t.co/OQJhLkquTd https://t.co/eRkj51OmkD","[0, 262]",1,hi,0,19-04-21 7:45
hetvi_hetu,28,119,12-03-15 5:49,FALSE,,"My favourite feature definitely has to 1000 Hz instant touch. 😍😍

@IqooInd @amazonIN       #IQOO7series https://t.co/iq8mqRM1Tg","[0, 103]",0,en,0,19-04-21 7:43
tyagi2ankur,1170,716,05-10-09 3:17,FALSE,"गाज़ियाबाद, भारत","RT @tyagi2ankur: buy tv ORDER #40874619266201163,supposed to delivered on 9Apl agent deny to deliver at home &amp; threaten to cancel the order…","[0, 144]",0,en,4,19-04-21 7:43
technosdsujit,4,76,26-02-20 14:39,FALSE,"Rajarbag, Udaipur, Tripura","RT @IqooInd: The ultimate duo is here!

The Dual Chipset in iQOO 7 - Dual Chip Monster with with Qualcomm Snapdragon 870 + Intelligent Disp…","[0, 140]",0,en,37,19-04-21 7:42
Bhagwat0708,1,101,13-02-21 18:56,FALSE,"Jaipur, India",@AmazonHelp @amazon #donttrustAmazon  @AmazonHelp @amazonIN my damaged order picked up 3 days before and I still not get my new replacement product.. thank you for your pathetic services and corporations... which you are providing😡😡😡😡😡😡😡😡😡😡😡👎👎👎👎👎👎👎👎👎👎 don't trust Amazon https://t.co/ygsWYrofBN,"[12, 270]",0,en,0,19-04-21 7:42
varunlachhwani,8,35,09-05-13 10:22,FALSE,,"@amazonIN @AmazonHelp Please have a look at the issue and try to get my product delivered today, I have high hopes as you have always lived up to the standards and I expect the same this time around 😄","[0, 200]",0,en,0,19-04-21 7:42
Sanjay_Pinto,9814,534,24-05-11 18:31,TRUE,"Chennai, India","@prabhud19 @BlueDart_ @BlueDartCares @amazonIN Pls scroll down a bit, Prabhu. Had an awful experience recently.","[47, 111]",0,en,0,19-04-21 7:40
FortuneIndia,7543,351,17-12-14 5:03,TRUE,National Capital Region,"At the Amazon Smbhav summit, the @Infosys co-founder said that the country’s small businesses are the engines of #growth and job creation. https://t.co/0zPfqtEh8I 

@amazonIN #amazonsmbhav @NandanNilekani https://t.co/EqBbe09VRj","[0, 204]",1,en,0,19-04-21 7:39
